fuente,codigo_mgn,nombre_municipio,n_edificios,area_total_m2,area_promedio_m2,area_min_m2,area_max_m2,conf_promedio
google,05790,TARAZÁ,11438,817098.43,71.43717695401294,4.03,2022.72,0.7750246022031825
google,54800,TEORAMA,10550,883596.13,83.75318767772512,4.68,3037.62,0.7807728151658768
google,54810,TIBÚ,32843,2651924.01,80.7454864050178,3.09,5174.66,0.7892636056389489
google,23807,TIERRALTA,43123,3087942.01,71.60777334601025,2.79,9550.25,0.7859106416529462
google,19809,TIMBIQUÍ,5938,450636.37,75.89026103065005,4.81,2186.35,0.7973259009767599
microsoft,19809,TIMBIQUÍ,5178,,,,,
google,19821,TORIBIO,11452,781204.89,68.2155859238561,3.87,2939.45,0.7855486989172197
microsoft,19821,TORIBIO,10253,,,,,
google,05837,TURBO,78927,6047187.82,76.61747969642835,2.7,6606.65,0.7841047499588227
google,27800,UNGUÍA,5418,453286.19,83.6630103359173,3.17,1265.51,0.7943950904392764
google,50370,URIBE,3567,296075.23,83.00398934679002,4.02,1432.67,0.7872993271656854
microsoft,50370,URIBE,6705,,,,,
google,05854,VALDIVIA,6329,440097.91,69.53672144098593,3.09,1331.32,0.776170358666456
google,23855,VALENCIA,25094,1716361.82,68.39729895592572,2.67,1847.05,0.7816751135729656
google,86865,VALLE DEL GUAMUEZ,16228,1494716.33,92.10724242050777,5.02,2973.72,0.786876682277545
microsoft,86865,VALLE DEL GUAMUEZ,14349,,,,,
google,20001,VALLEDUPAR,171425,15392426.83,89.79102715473239,2.54,15970.21,0.771950714306548
google,18860,VALPARAÍSO,4922,539052.76,109.51904916700528,5.27,2212.86,0.7783703575782203
microsoft,18860,VALPARAÍSO,4367,,,,,
google,86885,VILLAGARZÓN,13366,1299571.08,97.22961843483466,3.14,5005.99,0.780040573095915
microsoft,86885,VILLAGARZÓN,9550,,,,,
google,05893,YONDÓ,10688,890286.77,83.29778910928144,2.86,5839.23,0.7764157092065868
google,13894,ZAMBRANO,6080,442715.85,72.81510690789473,4.44,2407.8,0.7824061019736842
google,05895,ZARAGOZA,11188,732546.09,65.47605380765106,4.83,1341.3,0.7683821862710047
